key,value
0,"{""station_id"": 0, ""s_no"": 4581, ""battery_status"": ""medium"", ""status_timestamp"": 1779539666, ""weather"": {""humidity"": 56, ""temperature"": 67, ""wind_speed"": 42}}"
1,"{""station_id"": 1, ""s_no"": 4578, ""battery_status"": ""medium"", ""status_timestamp"": 1779539665, ""weather"": {""humidity"": 100, ""temperature"": 63, ""wind_speed"": 44}}"
2,"{""station_id"": 2, ""s_no"": 4577, ""battery_status"": ""medium"", ""status_timestamp"": 1779539666, ""weather"": {""humidity"": 70, ""temperature"": 69, ""wind_speed"": 43}}"
3,"{""station_id"": 3, ""s_no"": 4574, ""battery_status"": ""low"", ""status_timestamp"": 1779539665, ""weather"": {""humidity"": 31, ""temperature"": 110, ""wind_speed"": 47}}"
4,"{""station_id"": 4, ""s_no"": 4572, ""battery_status"": ""high"", ""status_timestamp"": 1779539665, ""weather"": {""humidity"": 38, ""temperature"": 71, ""wind_speed"": 14}}"
5,"{""station_id"": 5, ""s_no"": 4570, ""battery_status"": ""high"", ""status_timestamp"": 1779539665, ""weather"": {""humidity"": 12, ""temperature"": 91, ""wind_speed"": 20}}"
6,"{""station_id"": 6, ""s_no"": 4569, ""battery_status"": ""medium"", ""status_timestamp"": 1779539666, ""weather"": {""humidity"": 63, ""temperature"": 63, ""wind_speed"": 49}}"
7,"{""station_id"": 7, ""s_no"": 4566, ""battery_status"": ""medium"", ""status_timestamp"": 1779539665, ""weather"": {""humidity"": 79, ""temperature"": 113, ""wind_speed"": 34}}"
8,"{""station_id"": 8, ""s_no"": 4564, ""battery_status"": ""high"", ""status_timestamp"": 1779539665, ""weather"": {""humidity"": 73, ""temperature"": 79, ""wind_speed"": 0}}"
9,"{""station_id"": 9, ""s_no"": 4563, ""battery_status"": ""low"", ""status_timestamp"": 1779539666, ""weather"": {""humidity"": 97, ""temperature"": 118, ""wind_speed"": 23}}"
